dest_node_id,peer_port,bytes_out_to_peer,threads,op_per_client,total_ops,timestamp
1,12379,4023824,50,100000,300000,2025-08-25T09:01:11+02:00
2,22379,5982152,50,100000,300000,2025-08-25T09:01:11+02:00
3,32379,4024196,50,100000,300000,2025-08-25T09:01:11+02:00
