node_id,role,threads,op_per_client,total_ops,recordcount,keysize,max_exec,sent_bytes,recv_bytes,sum_bytes,timestamp
1,peer,50,100000,500000,500000000,2048,200,255615460,6736552,262352012,2025-11-16T18:41:33+01:00
2,peer,50,100000,500000,500000000,2048,200,4359708096,34794536,4394502632,2025-11-16T18:41:33+01:00
3,peer,50,100000,500000,500000000,2048,200,255685324,6780048,262465372,2025-11-16T18:41:33+01:00
4,peer,50,100000,500000,500000000,2048,200,255654292,6736992,262391284,2025-11-16T18:41:33+01:00
5,peer,50,100000,500000,500000000,2048,200,255489942,6652740,262142682,2025-11-16T18:41:33+01:00
