dest_node_id,peer_port,bytes_out_to_peer,threads,op_per_client,total_ops,timestamp
1,12379,8875120,50,100000,300000,2025-08-24T12:22:50+02:00
2,22379,3549176,50,100000,300000,2025-08-24T12:22:50+02:00
3,32379,3517780,50,100000,300000,2025-08-24T12:22:50+02:00
