node_id,role,threads,op_per_client,total_ops,recordcount,keysize,max_exec,sent_bytes,recv_bytes,sum_bytes,timestamp
1,peer,50,100000,500000,1,2048,200,50301821,7949760,58251581,2025-11-16T18:15:32+01:00
3,peer,50,100000,500000,1,2048,200,50340366,7945392,58285758,2025-11-16T18:15:32+01:00
2,peer,50,100000,500000,1,2048,200,196523213,28248700,224771913,2025-11-16T18:15:32+01:00
4,peer,50,100000,500000,1,2048,200,50216167,7852948,58069115,2025-11-16T18:15:32+01:00
5,peer,50,100000,500000,1,2048,200,49971906,7705592,57677498,2025-11-16T18:15:32+01:00
