node_id,role,threads,op_per_client,total_ops,recordcount,keysize,max_exec,sent_bytes,recv_bytes,sum_bytes,timestamp
1,peer,50,100000,500000,66000,1024,200,80452962,7722680,88175642,2025-11-16T18:27:02+01:00
5,peer,50,100000,500000,66000,1024,200,81108752,7841656,88950408,2025-11-16T18:27:02+01:00
3,peer,50,100000,500000,66000,1024,200,81738011,7749928,89487939,2025-11-16T18:27:02+01:00
4,peer,50,100000,500000,66000,1024,200,79962833,7560284,87523117,2025-11-16T18:27:02+01:00
2,peer,50,100000,500000,66000,1024,200,1231703377,29513616,1261216993,2025-11-16T18:27:02+01:00
