node_id,role,threads,op_per_client,total_ops,recordcount,keysize,max_exec,sent_bytes,recv_bytes,sum_bytes,timestamp
1,peer,50,100000,500000,66000,4096,200,174052981,7706228,181759209,2025-11-16T18:21:42+01:00
2,peer,50,100000,500000,66000,4096,200,4346734526,39623716,4386358242,2025-11-16T18:21:42+01:00
3,peer,50,100000,500000,66000,4096,200,174517750,7483764,182001514,2025-11-16T18:21:42+01:00
4,peer,50,100000,500000,66000,4096,200,169384814,7410504,176795318,2025-11-16T18:21:42+01:00
5,peer,50,100000,500000,66000,4096,200,173147389,7171488,180318877,2025-11-16T18:21:42+01:00
