dest_node_id,peer_port,bytes_out_to_peer,threads,trace_file,read_mode,max_records,timestamp
1,12379,7309716,50,./cluster26.sort.zst,write,127000,2026-03-30T18:55:41+02:00
2,22379,7273056,50,./cluster26.sort.zst,write,127000,2026-03-30T18:55:41+02:00
3,32379,29295480,50,./cluster26.sort.zst,write,127000,2026-03-30T18:55:41+02:00
4,42379,7317256,50,./cluster26.sort.zst,write,127000,2026-03-30T18:55:41+02:00
5,52379,7212840,50,./cluster26.sort.zst,write,127000,2026-03-30T18:55:41+02:00
