node_id,role,threads,trace_file,read_mode,max_records,max_exec,sent_bytes,recv_bytes,sum_bytes,timestamp
1,peer,50,./cluster26.sort.zst,write,127000,200,115812354,7309768,123122122,2026-03-30T18:55:41+02:00
2,peer,50,./cluster26.sort.zst,write,127000,200,112800597,7273108,120073705,2026-03-30T18:55:41+02:00
3,peer,50,./cluster26.sort.zst,write,127000,200,1389038809,29295688,1418334497,2026-03-30T18:55:41+02:00
4,peer,50,./cluster26.sort.zst,write,127000,200,115686738,7317308,123004046,2026-03-30T18:55:41+02:00
5,peer,50,./cluster26.sort.zst,write,127000,200,114907942,7212840,122120782,2026-03-30T18:55:41+02:00
