node_id,role,threads,op_per_client,total_ops,recordcount,keysize,max_exec,sent_bytes,recv_bytes,sum_bytes,timestamp
2,peer,50,100000,500000,66000,1024,200,1228418150,26625452,1255043602,2025-11-16T18:54:56+01:00
1,peer,50,100000,500000,66000,1024,200,153005629,6959436,159965065,2025-11-16T18:54:56+01:00
3,peer,50,100000,500000,66000,1024,200,152967264,6946876,159914140,2025-11-16T18:54:56+01:00
4,peer,50,100000,500000,66000,1024,200,152937722,6912176,159849898,2025-11-16T18:54:56+01:00
5,peer,50,100000,500000,66000,1024,200,152588712,6749548,159338260,2025-11-16T18:54:56+01:00
