node_id,role,threads,op_per_client,total_ops,recordcount,keysize,max_exec,sent_bytes,recv_bytes,sum_bytes,timestamp
1,peer,50,100000,500000,500000000,4096,200,461956366,6734784,468691150,2025-11-16T18:35:27+01:00
2,peer,50,100000,500000,500000000,4096,200,8487853663,48343740,8536197403,2025-11-16T18:35:27+01:00
3,peer,50,100000,500000,500000000,4096,200,455599642,6173772,461773414,2025-11-16T18:35:27+01:00
4,peer,50,100000,500000,500000000,4096,200,461635893,6373872,468009765,2025-11-16T18:35:27+01:00
5,peer,50,100000,500000,500000000,4096,200,459747178,6558732,466305910,2025-11-16T18:35:27+01:00
