dest_node_id,peer_port,bytes_out_to_peer,threads,trace_file,read_mode,max_records,timestamp
1,12379,27734156,50,./cluster26.sort.zst,write,127000,2026-03-30T20:42:52+02:00
2,22379,7114220,50,./cluster26.sort.zst,write,127000,2026-03-30T20:42:52+02:00
3,32379,6924716,50,./cluster26.sort.zst,write,127000,2026-03-30T20:42:52+02:00
4,42379,6961224,50,./cluster26.sort.zst,write,127000,2026-03-30T20:42:52+02:00
5,52379,6949040,50,./cluster26.sort.zst,write,127000,2026-03-30T20:42:52+02:00
