node_id,role,threads,op_per_client,total_ops,recordcount,keysize,max_exec,sent_bytes,recv_bytes,sum_bytes,timestamp
1,peer,50,100000,500000,1,4096,200,48903618,6892220,55795838,2025-11-16T18:06:23+01:00
5,peer,50,100000,500000,1,4096,200,49259133,7121136,56380269,2025-11-16T18:06:23+01:00
3,peer,50,100000,500000,1,4096,200,48705832,6779928,55485760,2025-11-16T18:06:23+01:00
4,peer,50,100000,500000,1,4096,200,49058284,6972856,56031140,2025-11-16T18:06:23+01:00
2,peer,50,100000,500000,1,4096,200,190762063,24869108,215631171,2025-11-16T18:06:23+01:00
