dest_node_id,peer_port,bytes_out_to_peer,threads,op_per_client,total_ops,timestamp
1,12379,3348712,50,100000,300000,2025-08-24T12:28:27+02:00
2,22379,5326488,50,100000,300000,2025-08-24T12:28:27+02:00
3,32379,3322956,50,100000,300000,2025-08-24T12:28:27+02:00
