node_id,role,threads,trace_file,read_mode,max_records,max_exec,sent_bytes,recv_bytes,sum_bytes,timestamp
1,peer,50,./cluster26.sort.zst,write,127000,200,1613665655,25434248,1639099903,2026-03-30T20:19:53+02:00
2,peer,50,./cluster26.sort.zst,write,127000,200,124380358,6224836,130605194,2026-03-30T20:19:53+02:00
3,peer,50,./cluster26.sort.zst,write,127000,200,124397556,6157792,130555348,2026-03-30T20:19:53+02:00
4,peer,50,./cluster26.sort.zst,write,127000,200,124176906,6085436,130262342,2026-03-30T20:19:53+02:00
5,peer,50,./cluster26.sort.zst,write,127000,200,124285659,6149536,130435195,2026-03-30T20:19:53+02:00
