node_id,role,threads,op_per_client,total_ops,recordcount,keysize,max_exec,sent_bytes,recv_bytes,sum_bytes,timestamp
2,peer,50,100000,500000,500000000,4096,200,8472775894,50498200,8523274094,2025-11-16T18:39:39+01:00
1,peer,50,100000,500000,500000000,4096,200,462821037,7290348,470111385,2025-11-16T18:39:39+01:00
3,peer,50,100000,500000,500000000,4096,200,462906657,7395544,470302201,2025-11-16T18:39:39+01:00
4,peer,50,100000,500000,500000000,4096,200,463221984,7550216,470772200,2025-11-16T18:39:39+01:00
5,peer,50,100000,500000,500000000,4096,200,462675870,7200860,469876730,2025-11-16T18:39:39+01:00
