dest_node_id,peer_port,bytes_out_to_peer,threads,op_per_client,total_ops,timestamp
1,12379,13431756,50,100000,300000,2025-10-12T22:34:04+02:00
2,22379,4247348,50,100000,300000,2025-10-12T22:34:04+02:00
3,32379,4222076,50,100000,300000,2025-10-12T22:34:04+02:00
