node_id,role,threads,op_per_client,total_ops,recordcount,keysize,max_exec,sent_bytes,recv_bytes,sum_bytes,timestamp
1,peer,50,100000,300000,10000,1024,60,62094903,3577420,65672323,2025-08-25T08:54:38+02:00
2,peer,50,100000,300000,10000,1024,60,370096661,6212180,376308841,2025-08-25T08:54:38+02:00
3,peer,50,100000,300000,10000,1024,60,61801360,3545804,65347164,2025-08-25T08:54:38+02:00
