dest_node_id,peer_port,bytes_out_to_peer,threads,op_per_client,total_ops,timestamp
1,12379,5884468,50,100000,300000,2025-10-12T22:14:06+02:00
2,22379,5223288,50,100000,300000,2025-10-12T22:14:06+02:00
3,32379,5171252,50,100000,300000,2025-10-12T22:14:06+02:00
