dest_node_id,peer_port,bytes_out_to_peer,threads,op_per_client,total_ops,timestamp
1,12379,3577420,50,100000,300000,2025-08-25T08:54:38+02:00
2,22379,6212180,50,100000,300000,2025-08-25T08:54:38+02:00
3,32379,3545804,50,100000,300000,2025-08-25T08:54:38+02:00
