node_id,role,threads,op_per_client,total_ops,recordcount,keysize,max_exec,sent_bytes,recv_bytes,sum_bytes,timestamp
1,peer,50,100000,500000,66000,2048,200,111895777,7658952,119554729,2025-11-16T18:23:57+01:00
2,peer,50,100000,500000,66000,2048,200,2260614993,31491616,2292106609,2025-11-16T18:23:57+01:00
3,peer,50,100000,500000,66000,2048,200,111851308,7628168,119479476,2025-11-16T18:23:57+01:00
4,peer,50,100000,500000,66000,2048,200,111869118,7587088,119456206,2025-11-16T18:23:57+01:00
5,peer,50,100000,500000,66000,2048,200,111129048,7466864,118595912,2025-11-16T18:23:57+01:00
