dest_node_id,peer_port,bytes_out_to_peer,threads,op_per_client,total_ops,timestamp
1,12379,7983420,50,100000,500000,2025-11-16T18:57:50+01:00
2,22379,7958448,50,100000,500000,2025-11-16T18:57:50+01:00
3,32379,7967184,50,100000,500000,2025-11-16T18:57:50+01:00
4,42379,7805840,50,100000,500000,2025-11-16T18:57:50+01:00
5,52379,27202708,50,100000,500000,2025-11-16T18:57:50+01:00
