node_id,role,threads,op_per_client,total_ops,recordcount,keysize,max_exec,sent_bytes,recv_bytes,sum_bytes,timestamp
1,peer,50,100000,500000,1,2048,200,257611277,7983420,265594697,2025-11-16T18:57:50+01:00
5,peer,50,100000,500000,1,2048,200,257587005,7958448,265545453,2025-11-16T18:57:50+01:00
3,peer,50,100000,500000,1,2048,200,257595514,7967236,265562750,2025-11-16T18:57:50+01:00
4,peer,50,100000,500000,1,2048,200,257368849,7805892,265174741,2025-11-16T18:57:50+01:00
2,peer,50,100000,500000,1,2048,200,195291772,27202708,222494480,2025-11-16T18:57:50+01:00
