node_id,role,threads,op_per_client,total_ops,recordcount,keysize,max_exec,sent_bytes,recv_bytes,sum_bytes,timestamp
1,peer,50,100000,500000,66000,2048,200,257242483,7869824,265112307,2025-11-16T18:53:22+01:00
2,peer,50,100000,500000,66000,2048,200,2254469326,31574032,2286043358,2025-11-16T18:53:22+01:00
3,peer,50,100000,500000,66000,2048,200,257257192,7860076,265117268,2025-11-16T18:53:22+01:00
4,peer,50,100000,500000,66000,2048,200,257165521,7794204,264959725,2025-11-16T18:53:22+01:00
5,peer,50,100000,500000,66000,2048,200,256947940,7697704,264645644,2025-11-16T18:53:22+01:00
