node_id,role,threads,op_per_client,total_ops,recordcount,keysize,max_exec,sent_bytes,recv_bytes,sum_bytes,timestamp
1,peer,50,100000,500000,500000000,1024,200,152822814,7098640,159921454,2025-11-16T18:43:04+01:00
3,peer,50,100000,500000,500000000,1024,200,152792363,7091308,159883671,2025-11-16T18:43:04+01:00
2,peer,50,100000,500000,500000000,1024,200,2282729301,30045780,2312775081,2025-11-16T18:43:04+01:00
4,peer,50,100000,500000,500000000,1024,200,152796262,7081348,159877610,2025-11-16T18:43:04+01:00
5,peer,50,100000,500000,500000000,1024,200,152505905,6891716,159397621,2025-11-16T18:43:04+01:00
