dest_node_id,peer_port,bytes_out_to_peer,threads,op_per_client,total_ops,timestamp
1,12379,3437732,50,100000,300000,2025-08-25T08:47:50+02:00
2,22379,8929360,50,100000,300000,2025-08-25T08:47:50+02:00
3,32379,3412380,50,100000,300000,2025-08-25T08:47:50+02:00
