node_id,role,threads,op_per_client,total_ops,recordcount,keysize,max_exec,sent_bytes,recv_bytes,sum_bytes,timestamp
1,peer,50,100000,500000,66000,4096,200,463833960,7908832,471742792,2025-11-16T18:50:08+01:00
4,peer,50,100000,500000,66000,4096,200,463781479,7799344,471580823,2025-11-16T18:50:08+01:00
3,peer,50,100000,500000,66000,4096,200,463834491,7858080,471692571,2025-11-16T18:50:08+01:00
2,peer,50,100000,500000,66000,4096,200,4330565915,36563500,4367129415,2025-11-16T18:50:08+01:00
5,peer,50,100000,500000,66000,4096,200,463897126,7976836,471873962,2025-11-16T18:50:08+01:00
