node_id,role,threads,op_per_client,total_ops,recordcount,keysize,max_exec,sent_bytes,recv_bytes,sum_bytes,timestamp
1,peer,50,100000,500000,1,1024,200,50046228,7649696,57695924,2025-11-16T18:17:20+01:00
4,peer,50,100000,500000,1,1024,200,50041812,7657080,57698892,2025-11-16T18:17:20+01:00
3,peer,50,100000,500000,1,1024,200,50006817,7653532,57660349,2025-11-16T18:17:20+01:00
2,peer,50,100000,500000,1,1024,200,196825014,27646412,224471426,2025-11-16T18:17:20+01:00
5,peer,50,100000,500000,1,1024,200,49735444,7488496,57223940,2025-11-16T18:17:20+01:00
