dest_node_id,peer_port,bytes_out_to_peer,threads,op_per_client,total_ops,timestamp
1,12379,7649696,50,100000,500000,2025-11-16T18:17:20+01:00
2,22379,7657080,50,100000,500000,2025-11-16T18:17:20+01:00
3,32379,7651560,50,100000,500000,2025-11-16T18:17:20+01:00
4,42379,27646204,50,100000,500000,2025-11-16T18:17:20+01:00
5,52379,7488444,50,100000,500000,2025-11-16T18:17:20+01:00
