node_id,role,threads,op_per_client,total_ops,recordcount,keysize,max_exec,sent_bytes,recv_bytes,sum_bytes,timestamp
1,peer,50,100000,500000,1,1024,200,154071146,7783572,161854718,2025-11-16T18:56:16+01:00
3,peer,50,100000,500000,1,1024,200,154267616,7850352,162117968,2025-11-16T18:56:16+01:00
2,peer,50,100000,500000,1,1024,200,197293167,28231480,225524647,2025-11-16T18:56:16+01:00
4,peer,50,100000,500000,1,1024,200,154156380,7797440,161953820,2025-11-16T18:56:16+01:00
5,peer,50,100000,500000,1,1024,200,153939418,7683108,161622526,2025-11-16T18:56:16+01:00
