node_id,role,threads,op_per_client,total_ops,recordcount,keysize,max_exec,sent_bytes,recv_bytes,sum_bytes,timestamp
2,peer,50,100000,500000,1,4096,200,193765427,27300992,221066419,2025-11-16T19:08:26+01:00
1,peer,50,100000,500000,1,4096,200,465434159,9204456,474638615,2025-11-16T19:08:26+01:00
3,peer,50,100000,500000,1,4096,200,465718392,9325608,475044000,2025-11-16T19:08:26+01:00
4,peer,50,100000,500000,1,4096,200,466189922,9696932,475886854,2025-11-16T19:08:26+01:00
5,peer,50,100000,500000,1,4096,200,465953974,9522592,475476566,2025-11-16T19:08:26+01:00
